Time: 2024-06-26T08:51:16.108Z, Running Count: 0
Time: 2024-06-26T08:51:43.827Z, Running Count: 2
Time: 2024-06-26T08:51:44.791Z, Running Count: 3
Time: 2024-06-26T08:51:46.326Z, Running Count: 13
Time: 2024-06-26T08:51:47.048Z, Running Count: 17
Time: 2024-06-26T08:51:47.843Z, Running Count: 25
Time: 2024-06-26T08:51:49.258Z, Running Count: 43
Time: 2024-06-26T08:51:49.848Z, Running Count: 50
Time: 2024-06-26T08:51:50.940Z, Running Count: 65
Time: 2024-06-26T08:51:51.944Z, Running Count: 92
Time: 2024-06-26T08:51:52.873Z, Running Count: 112
Time: 2024-06-26T08:51:53.892Z, Running Count: 132
Time: 2024-06-26T08:51:55.422Z, Running Count: 152
Time: 2024-06-26T08:51:56.269Z, Running Count: 171
Time: 2024-06-26T08:51:56.916Z, Running Count: 183
Time: 2024-06-26T08:51:57.958Z, Running Count: 194
Time: 2024-06-26T08:51:59.451Z, Running Count: 212
Time: 2024-06-26T08:51:59.951Z, Running Count: 221
Time: 2024-06-26T08:52:00.959Z, Running Count: 233
Time: 2024-06-26T08:52:01.991Z, Running Count: 246
Time: 2024-06-26T08:52:02.981Z, Running Count: 253
Time: 2024-06-26T08:52:04.515Z, Running Count: 270
Time: 2024-06-26T08:52:05.010Z, Running Count: 274
Time: 2024-06-26T08:52:06.566Z, Running Count: 283
Time: 2024-06-26T08:52:07.507Z, Running Count: 293
Time: 2024-06-26T08:52:08.460Z, Running Count: 298
Time: 2024-06-26T08:52:09.047Z, Running Count: 299
Time: 2024-06-26T08:52:10.061Z, Running Count: 309
Time: 2024-06-26T08:52:11.510Z, Running Count: 318
Time: 2024-06-26T08:52:12.293Z, Running Count: 327
Time: 2024-06-26T08:52:13.101Z, Running Count: 333
Time: 2024-06-26T08:52:14.538Z, Running Count: 341
Time: 2024-06-26T08:52:15.581Z, Running Count: 354
Time: 2024-06-26T08:52:16.628Z, Running Count: 365
Time: 2024-06-26T08:52:17.163Z, Running Count: 368
Time: 2024-06-26T08:52:18.574Z, Running Count: 374
Time: 2024-06-26T08:52:19.642Z, Running Count: 380
Time: 2024-06-26T08:52:20.543Z, Running Count: 384
Time: 2024-06-26T08:52:21.179Z, Running Count: 386
Time: 2024-06-26T08:52:22.655Z, Running Count: 388
Time: 2024-06-26T08:52:23.237Z, Running Count: 390
Time: 2024-06-26T08:52:24.210Z, Running Count: 392
Time: 2024-06-26T08:52:26.267Z, Running Count: 394
Time: 2024-06-26T08:52:28.000Z, Running Count: 395
Time: 2024-06-26T08:52:29.263Z, Running Count: 396
Time: 2024-06-26T08:52:30.266Z, Running Count: 397
Time: 2024-06-26T08:52:33.332Z, Running Count: 398
Time: 2024-06-26T08:52:41.399Z, Running Count: 399
Time: 2024-06-26T08:52:46.952Z, Running Count: 400
